"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"SIGLEC10-AS1",115.508552558639,-2.28592611995459,0.741053304844927,-3.08469863774907,0.00203758497069751,0.0360123799409671,"Down"
"DBF4",5772.87832536397,-2.47276194663316,0.654384237644455,-3.77876147435062,0.000157610302164383,0.00642520830356261,"Down"
"LINC01215",428.454552497296,-1.51616974068273,0.504100423106524,-3.00767400935575,0.00263255363316525,0.0429718704848506,"Down"
"CYB5D2",37950.7616070325,-1.15489066440474,0.369586763490128,-3.12481608783477,0.00177916257775979,0.0318481506307322,"Down"
"KANK1-AS1",116.00516883723,-2.58671955452947,0.756891858995313,-3.41755499651303,0.000631863266061608,0.0160407106407004,"Down"
"DACT2",323.107008580276,-2.09073763492816,0.639458600590391,-3.26954338091293,0.00107721218297424,0.0236859450468943,"Down"
"SAR1AP2",50.7853741011401,-1.83040773065224,0.524703777518353,-3.48845922038024,0.000485812920577848,0.0133658382336319,"Down"
"MBNL2",6618.05437546324,-1.57054231207493,0.476778205365397,-3.29407320720813,0.000987467767906363,0.0220600299350282,"Down"
"SAR1AP1",402.630209445807,-1.96214399340084,0.613138912608047,-3.20016223575611,0.00137350250789716,0.0274319943599845,"Down"
"LINC01087",28.6100112561399,-1.85565659402406,0.561071172316293,-3.30734617207881,0.000941844238523094,0.0212104841619011,"Down"
"PTCHD1-AS",83.14908175232,-1.25402168151781,0.364542445488139,-3.43998811945923,0.000581739722504166,0.0151117039543524,"Down"
"KLHL2",417.869480857729,-1.43955108234753,0.472952908685916,-3.04375140930474,0.00233648122448862,0.0393049627673763,"Down"
"CACUL1",3916.48995308858,-3.03808533006809,0.795451943150394,-3.81931976686828,0.000133820195523031,0.00557750591041885,"Down"
"SAR1AP4",1985.14965498196,-2.21294953331872,0.481469165042165,-4.5962435270905,4.30175895646653e-06,0.000500527578580533,"Down"
"SMAD1-AS1",134.808699351327,-2.68039847520708,0.880623074524255,-3.04375226217543,0.00233647460112086,0.0393049627673763,"Down"
"XIST",1487.33206012115,-8.44758645713031,0.673798041881853,-12.5372677450012,4.66814255495888e-36,2.60715761694453e-32,"Down"
"ERCC6L2-AS1",649.88042097206,-2.23381781891997,0.612651130991708,-3.64614983294662,0.000266198799351853,0.00917728576777837,"Down"
"HTR3E-AS1",52.4222576393911,-2.17442827588248,0.430551514122462,-5.05033243307561,4.41041850436035e-07,0.000107096466725446,"Down"
"RPS12",185949.387354561,-1.98105755615177,0.644296605103174,-3.07476019656278,0.00210671867614466,0.036654279770305,"Down"
"MICOS10-DT",40.6307669901117,-1.53717427574408,0.462484012578632,-3.3237349485302,0.000888205695847563,0.0203304459479862,"Down"
"PANX2",206.027744813712,-3.47304472719099,0.79611534266554,-4.36248937944419,1.28590830383185e-05,0.00107191013088073,"Down"
"NCAM1-AS2",32.3992294807358,-1.83563942818612,0.579127239053376,-3.16966515197352,0.00152614700591593,0.0290905495837558,"Down"
"RPL31P49",122753.837187969,-1.5973687977733,0.532870961958026,-2.99766531076078,0.00272056266246009,0.0439142845949122,"Down"
"SLCO5A1-AS1",47.417610884956,-3.97563409333925,0.653895286990055,-6.07992467974419,1.20239015255201e-09,8.39418625250375e-07,"Down"
"PSPH",1112.63405382594,-3.15977202798584,0.648777198287827,-4.87035000046969,1.11400743136776e-06,0.00020070101626416,"Down"
"MCPH1-AS1",36.0330018308134,-2.6118200458242,0.710040969444403,-3.67840752607263,0.000234694753033824,0.00834885474964272,"Down"
"TNIK",378.678203916487,-2.45579858847126,0.541696910574266,-4.53352888032499,5.80063308187311e-06,0.000599935847449284,"Down"
"LINC01635",74.6599370010042,-1.3925861384875,0.418251953389969,-3.32953887531299,0.000869899195566602,0.0201592821877156,"Down"
"PSMD7P3",7479.53599201145,-1.4678177386167,0.387031510245022,-3.79250190168613,0.000149137108085281,0.00612449079894333,"Down"
"CYP51A1",53.2638803644041,-1.48833537276972,0.486033020834526,-3.06221040334713,0.0021970895769916,0.0376549877600102,"Down"
"TUBA4B",70.1314069100314,-2.1163100198878,0.483829140830609,-4.37408548037152,1.21942593379246e-05,0.00103189300609559,"Down"
"ZFP91",2027.42347082408,-3.16303112202671,0.85553597191242,-3.6971339907032,0.000218047267609726,0.00795943784052498,"Down"
"PPP1R35-AS1",431.591700088264,-2.97110055896673,0.596118980232163,-4.98407307515962,6.22595483188398e-07,0.000133178728362022,"Down"
"LINC02035",4930.17013661975,-2.45467851008691,0.643053444333395,-3.81722317439959,0.000134962081538092,0.005583431299187,"Down"
"ENTPD3-AS1",113.290259855286,-2.74077349586754,0.754933302100418,-3.63048429343626,0.000282889920183971,0.00951771207365951,"Down"
"HS3ST3B1",293.297529745221,-3.1787240324529,0.718978506729874,-4.42116697884429,9.81692730458972e-06,0.000898812114690715,"Down"
"BZW1P1",1333.15060464193,-2.89470891999511,0.733028259193095,-3.94897315852673,7.84871509048492e-05,0.00399926766593662,"Down"
"IL6ST",3660.71973123861,-5.10962771905966,0.848646077481408,-6.02091714631368,1.73431523689675e-09,9.68615059806836e-07,"Down"
"ELOA-AS1",41.7739032618305,-2.62974712348409,0.82552864319726,-3.18553104747416,0.00144488599213107,0.0282156932379441,"Down"
"FTH1P1",122902.892232695,-2.01149485178096,0.474464402788492,-4.23950635697669,2.24011850409272e-05,0.00156388273066973,"Down"
"MTND6P15",50.3883245201986,-2.55473110260737,0.816089541917066,-3.1304544065178,0.00174536090285416,0.0316170685184031,"Down"
"LINC02022",38.7114816641516,-3.09338071814551,0.753754985078666,-4.10396054338887,4.06136759861117e-05,0.00249260857563114,"Down"
"HOXB-AS1",47.7115992543661,-4.25000175361342,0.909685190001567,-4.67194783461969,2.98356743460521e-06,0.000427262156981284,"Down"
"MTCO3P47",60.1057714181984,-1.85195585709954,0.547699075202423,-3.38133829496622,0.000721336755393968,0.0177474263386578,"Down"
"POM121B",32.8933539589624,-2.65390834237669,0.829401111484615,-3.19978874591359,0.00137528351312367,0.0274319943599845,"Down"
"FAM133B",51.1571660763144,-3.26188595757107,0.762642412910845,-4.27708438758491,1.89357035825443e-05,0.00135584492959628,"Down"
"NSD2",62.856165275307,-1.6194537618277,0.486351815415238,-3.32979894491613,0.000869087142469246,0.0201592821877156,"Down"
