"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"PIK3CD-AS1",531.52752247212,2.98040263295749,0.801601363472284,3.71806083269037,0.000200757932374396,0.00751863734154632,"Up"
"TPI1P2",1753.33724520249,2.90761600366369,0.844094492736188,3.44465700070908,0.000571784463459542,0.0149225057402876,"Up"
"CTDSP2",389.968396528792,2.09347594562629,0.701235792758076,2.98540942611088,0.00283198991839712,0.0446373090181563,"Up"
"SHMT2",473.575207878482,3.0461592583748,0.771780019915948,3.94692681822283,7.91607399334692e-05,0.00399926766593662,"Up"
"TAFAZZIN",86.3011856086843,1.6159458743325,0.456331576126174,3.54116602679649,0.0003983628226964,0.0119615933589215,"Up"
"ALG1L11P",530.955082674076,2.06762739332535,0.535357671472025,3.86214208463696,0.000112397162066523,0.00506240443662527,"Up"
"FLVCR1-DT",119.681740684859,1.65092807599462,0.448312226657721,3.68254082272684,0.000230920875136853,0.00826726338230335,"Up"
"PARVG",110.448714846967,2.1208777113236,0.619120604257045,3.42562934707801,0.000613376798939592,0.0157142634040258,"Up"
"FHL1P1",234.822476955877,2.99750226211047,0.938751662210828,3.1930726546477,0.00140767523740281,0.0277804459395573,"Up"
"RNF5",10351.2898679223,1.44023074620624,0.358412140365291,4.0183648487419,5.8603406971737e-05,0.0032088238033054,"Up"
"EXTL2P1",78.1403906564894,1.62581038364351,0.535330612404626,3.03702113417465,0.00238928703165152,0.0400725767921134,"Up"
"AHCY",64.4593751294741,1.44147029393673,0.491909113122287,2.9303589941388,0.0033857061209884,0.0498989945375747,"Up"
"ARHGAP26-AS1",92.5354074672106,2.4122230792237,0.810187395181502,2.9773643648002,0.00290738256095585,0.0456116056262315,"Up"
"ATP5PDP3",615.335651640676,1.69664842629053,0.542177772488258,3.12932125288717,0.00175210636532879,0.0316170685184031,"Up"
"PPP3CB-AS1",322.748495715177,2.22278505177506,0.664978004289003,3.34264447461187,0.000829841446036899,0.019721976494111,"Up"
"FAM88B",1450.52124932636,2.59937431352907,0.803716112394018,3.23419460359747,0.00121986305218819,0.0258107798012042,"Up"
"RBX1P1",1089.90108686544,1.19097908056127,0.389123540098438,3.06067086113574,0.00220841715730561,0.0376549877600102,"Up"
"BOLA2P3",8487.27653460503,1.3298254587652,0.416057894880345,3.19625099085704,0.00139225942787494,0.0276717754615001,"Up"
"USP21P1",87.9614047749453,1.67403136542645,0.522049085603506,3.20665510502946,0.00134287890095448,0.0270270249834258,"Up"
"MRPS21P6",5744.94756272375,1.77170866520451,0.557534042697589,3.17775871879002,0.00148418206665776,0.0286822036065175,"Up"
"GAPDHP67",12382.150758471,1.89478451414232,0.430106968624034,4.40537971333963,1.05598737014376e-05,0.000936141184484587,"Up"
"MRPL51P2",3924.36958941659,2.90627079729977,0.611682801943688,4.75127106412798,2.02141935545046e-06,0.000313600752783079,"Up"
"DNAJC9-AS1",63.4849208263163,2.01524065353545,0.628178030902338,3.20807248009084,0.00133627817215275,0.0270270249834258,"Up"
"H2BP6",64.5972157367564,1.61090657465144,0.533750121277476,3.01809125737695,0.00254372291958014,0.0420316346327074,"Up"
"ASH2L",403.209833314977,3.49326528966668,0.994150243547991,3.51382028253564,0.000441711551083046,0.0127075366538097,"Up"
"MYH16",77.413042176643,3.43562962572135,1.10077365020461,3.1211045296031,0.00180174067307484,0.0321492704764312,"Up"
