"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"1","NDUFB9",17776.625,919.45245,20968.307,6177.759,23675.635,5501.3267,16043.982,738.34753
"2","LINC00658",63.967876,7.2885957,63.071285,23.84247,109.44579,23.106941,63.462086,7.0163336
"3","RPL19P21",96974.586,9177.128,83832.09,47155.7,159043.75,31365.596,90531.8,16333.932
"4","ATG12",283.1828,13.998929,648.87335,289.7449,419.65402,115.476974,413.44598,7.7771926
"5","GAPDHP33",52.37207,4.9999995,50.441338,26.47792,58.524654,10.089491,71.71297,4.9999995
"6","PDIK1L",3166.5505,137.3595,3784.8232,994.151,4350.086,686.5939,8136.9883,242.91878
"7","FAM66A",744.76074,13.830659,345.92688,89.13341,1896.622,105.4998,2428.986,18.855988
"8","ANKRD36",898.9188,67.82523,8215.905,2081.6597,2008.4497,802.24,9829.278,114.46429
"9","PRODHLP",25.537895,6.492952,75.822495,124.019936,1535.4827,29.074778,21.988573,4.9999995
"10","USP9YP20",76.96705,10.445359,57.09256,44.739746,84.941666,16.250002,88.83982,4.9999995
"11","PFKL",21.530037,4.9999995,55.747204,25.842705,385.22223,26.763256,30.379585,6.854143
"12","HDGFP1",162.62831,32.70248,640.3525,185.94812,1169.6199,214.02179,1559.1382,242.01593
"13","LINC02942",698.0504,282.53323,733.6303,797.7825,484.0298,370.30957,779.5443,137.10532
"14","TMSB4X",48550.89,26133.584,280202.7,214280.45,242515.62,119955.43,164433.05,5387.927
"15","SIGLEC10-AS1",105.42441,10.691011,110.172066,60.238476,174.24391,78.22115,147.85716,93.2593
"16","NPM1P51",386.01984,15.066868,232.50644,77.062584,713.4951,59.091026,440.1687,4.9999995
"17","NALT1",710.99225,173.219,710.6201,1105.9077,1105.915,1057.0786,1281.8755,104.02287
"18","RPL31P32",196467.47,23620.219,199367.67,102354.78,193116.08,104311.86,205140.34,55765.31
"19","LINC01554",126.880714,29.763357,145.76788,79.02164,157.1392,40.29058,216.76512,23.016685
