ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A033563,17776.625,919.45245,20968.307,6177.759,23675.635,5501.3267,16043.982,738.34753,AC093106.5
ASHG19A3A039962,81.84726,13.863039,50.76039,16.326529,87.67954,29.351046,84.78112,7.9258275,UQCRBP1
ASHG19A3A048729,84.24414,13.582769,52.956665,29.496689,88.4374,46.016834,97.232925,16.828497,
ASHG19A3A054279,136.41418,17.37696,145.4979,74.487595,121.90259,72.17351,405.50937,79.14878,
ASHG19A3A000107,63.967876,7.2885957,63.071285,23.84247,109.44579,23.106941,63.462086,7.0163336,RP5-828H9.3
ASHG19A3A016348,96974.586,9177.128,83832.09,47155.7,159043.75,31365.596,90531.8,16333.932,AC068137.13
ASHG19A3A031868,4848.226,16.894444,1270.3568,86.15323,985.48737,154.0911,987.569,4.9999995,
ASHG19A3A031868,4848.226,16.894444,1270.3568,86.15323,985.48737,154.0911,987.569,4.9999995,
ASHG19A3A044135,37.69346,1034.6205,34.49334,4771.9736,196.83083,8402.834,41.4231,4.9999995,
ASHG19A3A027261,283.1828,13.998929,648.87335,289.7449,419.65402,115.476974,413.44598,7.7771926,ATG12
ASHG19A3A027261,283.1828,13.998929,648.87335,289.7449,419.65402,115.476974,413.44598,7.7771926,ATG12
ASHG19A3L0001653,119.1459,22.305796,89.37016,45.825882,86.22978,30.591068,157.0958,10.3184395,lincRNA-MRPS30
ASHG19A3A050627,52.37207,4.9999995,50.441338,26.47792,58.524654,10.089491,71.71297,4.9999995,GAPDHP33
ASHG19A3L0000859,34.843613,8.592778,35.372166,33.50941,65.31113,17.079168,52.11498,4.9999995,lincRNA-ERCC4
ASHG19A3A018251,3166.5505,137.3595,3784.8232,994.151,4350.086,686.5939,8136.9883,242.91878,PDIK1L
